School|Prof Name|Course Name|Course ID
SOB|Roger Low|Leadership & Teambuilding|OBHR001
SOB|Tang Dick Shun|Leadership & Teambuilding|OBHR001
SOB|Abhijeet K. Vadera|Ethics and Coporate Responsibility|OBHR002
SOB|Melvyn Chew|Ethics and Coporate Responsibility|OBHR002
SOB|Tan Boon Heon|Ethics and Coporate Responsibility|OBHR002
SOB|Thomas Menkhoff|Transformative Leadership|OBHR003
SOB|Kan Siew Ning|Transformative Leadership|OBHR003
SOB|Michael Schaerer|Management of People at Work|OBHR101
SOB|Ronald Bledow|Management of People at Work|OBHR101
SOB|Shereen Fatimah|Management of People at Work|OBHR101
SOB|Tan Hwee Hoon|Management of People at Work|OBHR101
SOB|Jared Nai|Human Capital Management|OBHR201
SOB|Filip Lievens|Personnel Selection|OBHR203
SOB|Chow Wai Fong|Training & Development|OBHR204
SOB|Chow Wai Fong|Organisational Change & Design|OBHR215
SOB|Jared Nai|Business Negotiation & Conflict Management|OBHR222
SOB|Paul Lim Heng Leong|The Mosaic of Leadership|OBHR231
SOB|Paul Lim Heng Leong|Millennial Talent Management Recruitment And Engagement (Indonesia)|OBHR233
SOB|Brian Rodrigues|Decision Analysis|OPIM101
SOB|Joyce Low Mei Wan|Decision Analysis|OPIM101
SOB|Liew Sing Loon|Decision Analysis|OPIM101
SOB|Low Chee Seng|Decision Analysis|OPIM101
SOB|Marcus Ang Teck Meng|Decision Analysis|OPIM101
SOB|Onur Boyabatli|Decision Analysis|OPIM101
SOB|Sean Lam|Decision Analysis|OPIM101
SOB|Sharafali Moosa|Decision Analysis|OPIM101
SOB|Buket Avci|Operations Management|OPIM201
SOB|Helen Zhou Yangfang|Operations Management|OPIM201
SOB|Wee Kwan Eng|Operations Management|OPIM201
SOB|Yang Kum Khiong|Operations Management|OPIM201
SOB|Marcus Ang Teck Meng|Service Processes|OPIM311
SOB|Sean Lam|Service Processes|OPIM311
SOB|Pascale Crama|Project Management|OPIM313
SOB|Joyce Low Mei Wan|Logistics and Transportation Management|OPIM314
SOB|Low Chee Seng|Supply Chain Management|OPIM321
SOB|Zeller Alan William|Supply Chain Management|OPIM321
SOB|Lim Yun Fong|High Performance Warehousing and Fulfillment|OPIM322
SOB|Neo Kin Kah|Global Supply Chains|OPIM324
SOB|Kaushik Ghatak|Sales and Operations Planning|OPIM325
SOB|Ting Hian Ann Christopher|Quantitative Fiance|QF101
SOB|Tee Chyng Wen|Investment Statistics|QF102
SOB|Zhao Yibao|Computing Technology for Finance|QF205
SOB|Ting Hian Ann, Christopher|Quantitative Trading Strategies|QF206
SOB|Shirley Huang Junying|Global Financial Risk Management|QF305
SOB|Tee Chyng Wen|Stochastic Finance|QF307
SOB|Ics Instructors|Shipping Business|TRAD201
SOA|Yuanto Kusnadi|Accounting Study Mission|ACCT001
SOA|Zang Yoonseok|Accounting Study Mission|ACCT001
SOA|Yuanto Kusnadi|Accounting for Entrepreneurs|ACCT002
SOA|Wang Jiwei|Capital Markets in China|ACCT003
SOA|Tan Lay Khim|Applied Governance and Risk Management for Student Organizations (SMU-X)|ACCT007
SOA|Wong Yew Tong|Applied Governance and Risk Management for Student Organizations (SMU-X)|ACCT007
SOA|Yanju Liu|Financial Accounting|ACCT101
SOA|Samuel Tan|Financial Accounting|ACCT101
SOA|Yin Wang|Financial Accounting|ACCT101
SOA|Zhou Youting|Financial Accounting|ACCT101
SOA|Tan Lay Khim|Financial Accounting|ACCT101
SOA|Katherine Yuen|Management Accouting|ACCT102
SOA|Cheng Nam Sang|Management Accouting|ACCT102
SOA|Wong Suay Peng|Management Accouting|ACCT102
SOA|Prasart Jongjaroenkamol|Management Accouting|ACCT102
SOA|Khoo Teng Aun|Management Accouting|ACCT102
SOA|Low Lay Chin|Financial Accounting|ACCT111
SOA|Jimmy Lee Kiat Bee|Management Accounting|ACCT112
SOA|Zang Yoonseok|Corporate Reporting and Financial Analysis|ACCT201
SOA|Sean Shin|Corporate Reporting and Financial Analysis|ACCT201
SOA|Chen Xia|Corporate Reporting and Financial Analysis|ACCT201
SOA|Wong Suay Peng|Accounting Information Systems|ACCT221
SOA|Travis Chow|Taxation|ACCT223
SOA|Goh Beng Wee|Financial Reporting and Analysis|ACCT224
SOA|Leong Kwong Sin|Ethics and Social Responsibility|ACCT321 
SOA|Jean Seow|Ethics and Social Responsibility|ACCT321
SOA|Sterling Huang|Audit and Assurance|ACCT331
SOA|Lou Yun|Accounting Thought and Practice|ACCT332
SOA|Zhang Liandong|Accounting Thought and Practice|ACCT332
SOA|Lim Chee Yeow|Intermediate Financial Accounting|ACCT334
SOA|Andrew Lee|Intermediate Financial Accounting|ACCT334
SOA|Pearl Tan Hock Neo|Advanced Financial Accounting|ACCT335
SOA|Yue Heng|Advanced Financial Accounting|ACCT335
SOA|Cheng Nam Sang|Strategic Management Accounting|ACCT401
